word	ref	asr
a	612	622
aba	0	2
able	5	4
about	45	64
above	4	4
absolute	1	0
absolutely	1	2
absorbable	0	1
abu	0	2
access	1	1
ache	1	0
achieve	1	1
across	2	3
act	3	3
action	0	1
actually	16	16
ad	1	0
add	5	5
adorable	1	0
adult	1	0
advantage	1	1
advise	0	1
affordable	1	1
afraid	1	0
after	22	21
again	34	28
against	1	1
age	2	4
agenda	0	1
aging	0	1
ago	6	6
agree	1	3
ah	94	26
aha	3	0
ahead	3	7
ahem	1	0
aim	1	0
air	2	2
ala	1	0
album	0	1
alike	1	1
all	137	202
aller	2	0
alligator	1	1
allow	1	2
alma	0	3
almond	4	2
almost	15	13
alone	1	0
along	1	3
aloud	1	0
alphabet	2	2
already	11	15
alright	26	5
alrighty	1	0
also	6	8
although	1	1
always	26	28
amazing	0	2
amber	0	1
amen	1	14
amor	1	0
amount	0	1
and	546	504
animal	8	10
ankle	0	1
annoying	0	1
another	17	18
answer	3	5
ant	1	0
anticipate	1	1
any	23	24
anybody	2	2
anyone	2	4
anything	13	12
anyway	10	6
anyways	3	2
anywhere	6	5
apart	1	1
apology	1	1
apparently	5	5
apple	11	9
apply	1	1
appointment	5	3
approach	1	2
approximation	1	1
aqua	0	2
area	3	3
arena	0	1
argue	2	0
argument	0	3
aright	4	0
arm	5	5
around	34	28
article	1	1
as	40	31
aside	2	1
ask	16	19
asleep	5	1
ass	1	2
assist	1	1
assistance	1	0
assistant	0	2
at	141	129
attack	2	1
attempt	1	1
attend	2	0
attention	2	2
attorney	1	1
audio	1	1
august	1	0
aunt	2	0
auntie	1	0
automatic	1	1
autumn	0	1
avocado	2	1
avoid	1	1
aw	26	6
awake	2	2
away	22	22
awe	13	0
awesome	7	6
awful	1	0
awhile	1	0
awkward	1	1
ay	0	5
aye	7	1
b	1	1
ba	14	1
baa	1	2
baba	1	0
babe	14	6
baby	119	110
back	60	74
backwards	1	0
bad	14	16
bag	28	21
bah	2	0
bake	1	0
baker	1	0
bakery	0	1
balance	3	2
ball	14	14
balloon	1	1
banana	12	13
band	0	1
banquet	1	0
bar	1	2
barbecue	1	1
bare	0	1
barely	2	1
bark	2	2
barney	2	0
bas	4	0
baseball	4	2
basic	1	1
basically	4	4
basis	0	1
basket	1	0
basketball	0	2
bass	0	1
bath	14	4
bathroom	5	8
be	2064	2303
beam	1	1
bean	5	4
bear	7	2
beard	1	1
beat	1	3
beau	1	0
beautiful	8	13
because	54	91
become	1	1
bed	18	15
bedroom	4	3
bedspread	1	1
bedtime	2	2
bee	1	1
beef	1	1
beer	1	1
beetle	1	1
before	19	13
begin	0	2
behave	3	2
behind	7	6
believe	8	13
belligerent	1	1
belly	1	1
benefit	15	0
bet	3	3
better	0	1
between	2	2
beyond	1	0
bib	1	0
bien	3	0
big	46	43
bike	1	3
bikini	0	1
bing	2	2
bingo	0	1
bird	4	4
birth	0	1
birthday	2	2
biscuit	2	1
bit	29	31
bite	18	9
black	10	7
blackbird	0	1
blah	0	4
blame	1	0
blanket	4	3
blend	2	2
bless	4	3
block	3	2
blood	0	1
bloody	1	0
blow	3	3
blue	12	8
blueberry	2	2
bluster	0	1
board	1	1
boat	10	5
body	0	1
boil	1	0
bom	4	0
bone	1	0
bonk	1	0
boo	12	4
booby	1	0
book	19	15
bookie	0	1
bookshelf	1	0
boom	12	21
booster	1	0
boot	2	1
boring	1	0
borrow	0	1
borrowing	1	0
boss	1	0
both	11	11
bother	1	1
bottle	11	9
bottom	2	3
bought	0	1
bounce	2	3
bout	5	0
bow	1	4
bowel	2	0
bowl	1	0
box	13	9
boxing	0	1
boxy	1	0
boy	49	40
boyish	1	0
bra	0	1
brace	1	1
brain	1	2
branch	1	1
brass	0	1
brave	0	1
bread	2	1
break	13	11
breakfast	3	2
breaking	1	0
breast	1	1
breastfeeding	1	1
breathe	5	4
breathing	0	1
bright	2	2
brilliant	1	0
bring	16	16
broccoli	2	2
broom	2	0
brother	5	5
brown	0	1
brownie	1	0
brush	2	5
brushing	1	0
brute	1	1
bubble	2	2
buck	4	3
bud	0	2
buddy	1	2
budget	2	2
bug	3	4
buggy	1	1
build	4	5
building	1	1
bulk	1	1
bulky	1	0
bullet	0	1
bully	1	0
bum	20	2
bump	0	1
bunch	2	1
bunny	2	1
burn	1	0
bus	4	2
bush	1	1
business	1	1
busy	3	2
but	165	152
butt	2	2
butter	3	0
butterfly	5	4
button	4	4
butty	3	1
buy	5	5
buzz	5	4
by	18	14
bye	34	158
c	6	7
cabinet	2	2
cable	1	1
cage	1	3
cain	0	4
cake	11	6
call	31	41
calling	1	0
calm	1	1
calor	3	0
camera	1	2
camp	2	1
campus	1	2
can	265	267
candle	2	3
candy	3	2
canyon	2	2
cap	1	0
capability	1	0
capable	1	1
cape	0	1
car	35	25
caravan	2	1
card	9	8
cardiologist	1	1
care	11	8
careful	16	8
carpal	0	1
carpet	2	0
carrier	2	1
carrot	3	3
carry	1	1
cart	3	2
case	1	3
cast	0	1
cat	7	3
catch	4	2
catching	0	1
cause	48	2
center	0	1
cereal	3	1
certain	1	1
cha	1	0
chair	10	7
chairman	0	1
challenge	0	1
chance	5	5
change	24	16
charge	6	5
chase	1	0
chat	0	1
cheap	2	1
check	14	16
chee	1	0
cheek	0	2
cheer	0	4
cheese	13	12
cheque	1	0
chest	1	1
chew	3	2
chewy	0	2
chicken	28	6
child	4	3
chill	3	3
chilla	2	0
chimney	1	0
chip	1	0
chocolate	1	1
choice	3	1
choose	6	6
chose	1	0
chubby	1	1
chuck	1	0
chunk	1	1
chunky	1	0
church	4	2
cig	1	0
cigar	1	0
cinder	0	1
cinnamon	1	0
circle	1	1
city	0	2
clap	21	8
class	5	3
clean	15	14
clear	1	3
clever	3	3
click	2	2
client	0	1
climb	4	2
clinical	1	0
clip	0	1
cloak	1	0
clock	1	2
close	8	13
closet	2	2
cloth	6	1
clothes	6	6
cloud	3	2
cloudy	0	1
cluck	4	0
coast	1	1
coat	4	2
coconut	6	5
code	1	1
coffee	6	5
coffin	0	2
cognitively	0	1
coincide	1	0
cold	2	4
collagen	1	0
college	1	2
colon	1	0
color	16	6
colour	0	5
come	166	147
comfortable	1	2
comfy	1	1
community	0	1
company	1	0
compare	1	0
competition	1	1
complain	1	1
computer	5	4
concert	1	1
condition	1	1
conference	1	1
confuse	1	2
confused	1	0
congested	1	1
congratulation	1	2
connect	2	1
consider	2	1
consistently	1	1
continue	2	2
continuum	1	1
control	4	4
convenient	1	1
convention	0	1
conversation	0	2
convinced	1	1
cook	3	3
cooking	2	1
cookout	0	1
cool	16	22
coop	4	0
cooper	6	3
cop	0	2
copy	2	2
cord	2	1
corn	1	1
corner	1	2
cost	0	1
costume	4	3
cot	2	0
cottonwood	1	1
couch	12	10
cough	17	3
could	38	37
counselor	0	1
count	1	3
counter	1	1
country	1	1
county	1	1
couple	7	7
coupon	1	0
course	4	7
cousin	2	2
cover	5	4
cow	1	2
cozy	1	1
crack	1	0
cracker	1	1
crash	1	0
crawl	4	4
crazy	9	8
cream	1	0
credit	4	4
crib	1	1
crisis	0	1
crocodile	5	5
cross	3	1
crowd	1	1
cry	17	13
cuddle	8	5
cue	0	1
cuff	0	5
cup	11	6
cupcake	3	2
curd	2	0
curious	3	4
curse	1	2
curtain	4	4
custard	1	0
cut	6	6
cute	12	13
d	3	1
da	18	9
dad	12	13
dada	21	3
daddy	31	14
daisy	0	1
damage	2	2
damn	2	1
dance	7	6
dancing	1	1
dandruff	1	2
dangerous	1	0
dare	0	1
dark	3	3
darling	5	2
darn	0	1
date	0	2
daughter	2	2
daw	7	0
day	45	44
daytime	1	1
dead	1	5
deal	6	5
dear	2	1
death	0	3
debit	2	2
decide	1	2
decision	1	1
deck	0	2
decline	0	1
dee	1	0
deep	1	1
default	1	1
define	1	0
definitely	7	7
delete	1	0
delicious	1	1
delivery	1	0
dell	1	0
den	1	0
deny	1	0
desk	1	2
desperate	1	0
devastation	1	1
development	3	4
device	2	2
diagnostic	1	0
diamond	2	2
diaper	12	7
diarrhea	3	3
dice	0	1
die	1	3
diesel	1	1
diet	1	1
difference	1	1
different	4	5
difficult	1	1
diffusion	1	1
dig	0	1
digest	1	1
digger	2	1
dine	1	1
ding	0	11
dining	2	1
dinky	0	1
dinner	8	7
dinnertime	0	1
dinosaur	1	1
dip	0	1
dirt	1	1
dirty	4	1
disappear	2	1
discover	1	1
discuss	1	0
disease	1	1
dish	4	3
disposable	1	1
distance	0	2
divine	1	0
divorce	0	1
dizziness	1	0
dizzy	2	0
do	810	820
dock	3	1
doctor	6	8
dodo	1	0
dog	17	14
doll	1	0
dollar	12	2
don	2	0
done	8	11
donkey	1	0
doodle	1	0
dook	1	0
door	10	15
doorbell	1	0
dope	0	1
dot	12	0
double	3	2
doubtful	1	0
dough	1	0
down	92	86
downstairs	1	0
dozen	1	1
draw	1	2
drawer	3	0
dread	1	0
dream	6	5
dress	3	2
drink	10	10
drive	10	6
driverless	2	1
drop	11	8
drown	1	0
drug	1	1
drummer	0	2
drunkenness	1	0
dry	10	6
duck	2	3
dude	1	1
due	1	2
dum	2	0
dumb	1	1
dummy	0	2
dump	12	12
dumper	1	1
during	2	2
dynamic	1	1
e	4	1
each	6	3
ear	9	12
early	4	9
earring	1	1
earwax	1	0
east	1	1
easy	9	8
eat	55	50
eatable	1	1
edge	2	0
effect	0	1
effort	1	0
egg	1	1
eh	21	20
eight	9	16
eighteen	1	0
eighty	1	0
either	8	7
elephant	1	2
elevation	1	1
eleven	2	0
eleventh	1	0
elf	0	1
elite	0	1
elk	0	1
else	11	12
embarrass	1	0
embarrassing	2	3
empty	1	1
encore	1	0
end	12	15
ended	0	1
engine	1	1
enjoy	1	5
enough	13	9
entire	1	1
er	2	0
era	1	1
es	1	0
escape	1	1
especially	0	2
eternity	0	1
even	32	24
evening	0	1
event	2	1
ever	10	12
every	18	17
everybody	5	7
everyday	3	0
everyone	6	3
everything	15	19
everywhere	2	3
evidence	0	1
evil	0	1
exact	1	0
exactly	4	8
exaggerate	1	0
exam	4	2
example	2	3
excavator	1	1
excellent	2	2
excess	1	0
excessive	0	1
excited	0	2
exciting	2	1
excuse	2	4
expect	1	1
expense	1	0
expensive	2	3
experience	1	2
explain	1	1
explore	2	2
extension	1	1
extra	4	4
eye	7	8
eyeball	1	0
f	2	1
fa	1	0
fabulous	1	0
face	7	11
fact	3	2
fag	1	0
fair	3	2
fairly	1	0
fairy	0	2
faith	1	3
faithful	0	1
fake	1	1
fall	15	9
familiar	0	1
family	1	2
fantastic	0	2
fantasy	0	1
far	8	10
farm	1	1
farmer	3	0
farthest	1	1
fascist	1	0
fashionable	1	1
fast	8	7
fat	5	3
father	3	3
fault	2	2
favor	1	1
favorite	5	4
fed	0	1
feed	6	5
feeding	1	0
feel	23	23
fellow	1	0
feminist	0	1
fence	1	0
fest	2	2
festival	2	2
few	4	9
field	1	1
fifteen	1	0
fifty	3	0
fight	5	4
fighting	0	1
figure	2	3
file	2	2
fill	7	3
filter	1	1
final	1	1
finally	1	2
finance	1	1
find	15	20
finder	1	1
fine	25	22
finely	8	0
finger	13	6
finish	2	3
fire	7	5
firm	0	1
first	21	21
fish	5	3
fishing	1	1
fist	1	1
fit	5	4
five	29	15
fix	6	1
flap	1	0
flash	1	1
flip	1	2
float	1	1
flood	3	2
floor	10	9
floss	1	0
flower	8	7
flu	1	1
fluffy	1	1
flush	1	1
fly	4	5
fogginess	1	0
foil	0	1
fold	6	3
follow	1	2
food	12	11
foot	11	7
football	4	2
for	217	211
forage	1	0
forever	1	1
forget	15	11
forgive	1	0
fork	2	1
form	1	2
formula	3	3
forty	2	0
forward	0	3
four	18	14
fourteen	1	0
fox	0	1
foxy	0	3
frame	1	3
freak	3	1
free	12	16
freezer	1	1
freezing	1	0
frenzy	2	2
frequency	2	1
fresh	4	1
friend	17	14
frog	4	2
froggy	4	3
from	39	30
front	5	6
fruit	4	4
fry	4	4
fudge	0	1
full	6	6
fun	8	18
function	1	0
functional	1	1
funky	1	0
funny	22	21
furry	1	1
fussy	2	2
g	0	2
ga	8	0
gain	2	1
game	11	9
garage	1	0
garbage	1	1
gas	3	3
gasp	3	0
gate	4	4
gear	2	2
gecko	1	0
gee	1	2
geek	0	3
gemma	1	0
gen	0	7
gender	1	1
gene	1	0
general	0	1
gentle	9	2
gently	8	6
germ	2	0
get	377	351
getaway	0	1
giant	1	1
gift	3	1
giggle	1	1
gingerbread	0	1
gio	0	1
girl	51	38
gish	1	0
give	35	39
glad	0	1
glass	0	1
glasses	0	1
glossy	1	0
glove	6	1
glow	1	0
go	499	542
goa	1	0
goal	1	1
goat	0	1
god	19	46
gold	2	1
goldfish	1	1
goldilocks	1	0
golf	0	1
gone	6	3
good	153	190
goodness	7	6
gorgeous	7	4
gosh	6	9
governor	0	1
grab	18	12
grabber	0	1
grade	1	0
gram	4	0
grand	2	1
granddad	1	0
grandfather	1	1
grandma	8	4
grandpa	3	3
granny	1	1
grape	2	1
grass	0	1
grave	0	1
gray	0	1
great	43	55
green	9	10
grey	5	3
groan	2	0
grocery	1	1
gross	2	0
ground	3	3
group	2	3
grow	6	3
grub	0	1
grumpy	1	0
guess	12	13
guest	0	1
guidance	1	1
guide	2	2
gun	0	2
guy	29	44
gym	2	1
h	3	1
ha	42	48
habit	0	1
hack	1	1
hair	13	8
hairy	1	0
hale	0	1
half	11	11
halfway	1	3
hall	0	1
hallelujah	0	1
ham	1	2
hamburger	1	0
hand	33	32
handstand	1	1
handwriting	1	2
happen	19	23
happily	1	1
happy	14	16
hard	19	20
harm	0	1
hat	10	6
hate	3	3
have	360	379
havoc	1	1
haw	0	1
hay	2	0
he	247	231
head	17	13
headache	1	1
health	1	3
healthy	0	1
heap	1	0
hear	21	28
heart	0	2
heat	2	3
heavily	1	1
heavy	1	0
heck	1	0
helicopter	0	1
hell	2	5
hello	47	50
help	28	28
helper	1	0
helpful	1	2
her	102	80
here	234	201
hero	1	1
herself	3	0
hey	109	90
hi	86	55
hiccup	1	1
hide	2	0
high	15	10
highway	1	1
hill	0	1
himself	1	1
hint	2	2
his	41	33
hish	1	0
history	0	1
hit	6	9
ho	4	5
hoi	1	0
hold	39	42
holder	1	1
hole	1	1
holiday	1	3
hollow	1	0
holy	5	3
home	21	19
honest	0	2
honestly	1	1
honey	22	7
honk	3	3
hook	1	1
hop	1	1
hope	5	11
hopefully	1	2
horn	1	0
horrible	2	3
horror	0	1
horse	1	0
hose	1	1
hospital	1	1
host	0	1
hot	16	12
hour	12	11
house	16	16
how	92	83
howdy	0	1
hug	3	1
huge	2	2
huh	31	41
hum	4	1
humanity	1	0
humid	1	0
hundred	11	1
hungry	7	6
hunting	1	1
hurry	7	5
hurt	13	10
husband	1	1
i	1380	1598
ice	5	0
icicle	0	1
idea	4	3
identify	3	3
if	100	92
ignore	1	0
imaginary	1	0
imagine	0	2
important	1	1
impressive	0	1
improper	0	1
in	301	280
include	2	1
increment	1	1
indicator	1	1
infant	1	1
influence	1	1
innocent	0	1
inside	3	4
inspire	1	0
inspiring	1	1
installation	1	1
instead	2	2
insurance	2	1
interest	1	1
interested	2	2
interesting	2	2
interface	0	1
international	1	1
into	14	17
invite	1	1
iron	0	1
irritating	1	1
island	0	1
issue	2	4
it	802	967
its	20	1
j	3	0
jacket	2	3
jail	0	1
jazz	4	4
jealous	1	0
job	12	18
jobless	1	0
joke	1	2
juice	5	3
jump	4	9
jumpy	3	3
june	1	0
just	189	196
k	2	1
kale	2	1
karate	1	1
keep	24	26
kernel	1	0
kettle	1	1
key	3	3
kick	5	3
kiki	0	7
kill	0	2
killer	0	1
kind	21	18
kindle	1	1
king	1	1
kingdom	4	4
kish	1	0
kiss	22	14
kitchen	5	5
kite	1	0
kiwi	1	0
knee	6	4
knife	0	1
knight	1	0
know	202	222
kraft	1	0
l	6	0
la	19	14
lab	2	2
lady	5	5
lake	0	1
land	1	1
language	5	6
lap	1	1
large	1	0
last	21	23
late	19	18
laugh	21	4
laundry	4	4
law	1	1
lay	9	8
lazy	0	1
lead	2	3
leader	1	0
leak	2	3
leaky	1	0
leaner	0	1
learn	7	4
least	6	5
leather	0	1
leave	32	24
left	2	3
leg	6	7
legal	1	1
lentil	1	1
let	81	150
letter	5	4
level	1	1
lick	1	1
lie	5	5
lieu	1	1
life	9	11
lift	2	4
light	12	9
like	363	318
likely	1	1
limb	1	1
limit	2	3
lindo	0	1
line	4	5
link	0	2
lion	2	1
lip	0	1
lish	1	0
